name,category,province,regency,latitude,longitude,qid,images
Pantai Sipelot,pantai,Jawa Timur,Kota Malang,-8.381389,112.896667,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Air_terjun_Wedi_Putih_di_Pantai_Sipelot_Pujiharjo%2C_Kab._Malang.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Pantai Suwuk,pantai,Jawa Tengah,Kebumen,-7.758889,109.473583,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Pantai_Suwuk_Kebumen_-_panoramio.jpg/960px-Pantai_Suwuk_Kebumen_-_panoramio.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pantai Tanjung Tinggi,pantai,Kepulauan Bangka Belitung,Belitung,-2.551795,107.713777,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Tanjung_Tinggi_Beach%2C_Bangka-Belitung_Province%2C_Indonesia.jpg/960px-Tanjung_Tinggi_Beach%2C_Bangka-Belitung_Province%2C_Indonesia.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pantai Menganti,pantai,Jawa Tengah,Kebumen,-7.770194,109.413,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Salah_satu_sudut_Pantai_Menganti_Kebumen.jpg/960px-Salah_satu_sudut_Pantai_Menganti_Kebumen.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pantai Tanjung Pesona,pantai,Sumatera Selatan,Banyuasin,-1.882112,106.175242,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Tanjung_pesona_shade.jpg/960px-Tanjung_pesona_shade.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pantai Trikora,pantai,Papua,Kota Jayapura,-2.518788,140.740378,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Coconut_Tree_and_The_Blue-Green_Sea%2C_Pantai_Trikora%2C_Kabupaten_Bintan%2C_Provinasi_Kepri.jpg/960px-Coconut_Tree_and_The_Blue-Green_Sea%2C_Pantai_Trikora%2C_Kabupaten_Bintan%2C_Provinasi_Kepri.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Pantai%20Trikora%201.jpg?width=800
Medewi,pantai,Bali,Jembrana,-8.403,114.8145,,https://commons.wikimedia.org/wiki/Special:FilePath/Balian%20Beach%20Sunset.jpg?width=800
Pantai Batakan,pantai,Kalimantan Selatan,Tanah Laut,-4.097,114.629,,https://upload.wikimedia.org/wikipedia/id/a/a8/Pantai_Batakan.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Pantai Batu Lamampu,pantai,Kalimantan Utara,Kota Tarakan,4.040336,117.903978,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Pantai_Batu_Lamampu.JPG/960px-Pantai_Batu_Lamampu.JPG?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pantai Carita,pantai,Lampung,Lampung Selatan,-6.2955,105.8389,,https://upload.wikimedia.org/wikipedia/id/thumb/f/fb/Carita_Beach%2C_Banten.jpg/960px-Carita_Beach%2C_Banten.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pantai Kartini,pantai,Jawa Tengah,Jepara,-6.702778,111.342222,,https://upload.wikimedia.org/wikipedia/id/thumb/e/e8/Pantai_Kartini_Jepara_Indonesia.jpg/960px-Pantai_Kartini_Jepara_Indonesia.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pantai Marina,pantai,Lampung,Lampung Selatan,-6.143889,105.856111,,
Pantai Parai Tenggiri,pantai,Sumatera Selatan,Banyuasin,-1.804309,106.128428,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Pantai_Parai_Tenggiri_Bangka.jpg/960px-Pantai_Parai_Tenggiri_Bangka.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Pantai%20Parai%20Tenggiri%20Bangka.jpg?width=800
Pantai Samas,pantai,Jawa Tengah,Kota Magelang,-8.004554,110.270376,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Pertunjukan_Jathilan.jpg/960px-Pertunjukan_Jathilan.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pantai Seminyak,pantai,Bali,Badung,-8.6925,115.158611,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Pantai_Seminyak_1.jpg/960px-Pantai_Seminyak_1.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pantai Ujong Blang,pantai,Aceh,Kota Lhokseumawe,5.206333,97.129778,,
Pantai Widarapayung,pantai,Jawa Tengah,Cilacap,-7.696944,109.253889,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Pantai_Widarapayung.jpg/960px-Pantai_Widarapayung.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
